,RateRatio,CPIRatio,PMIRatio,UnemployRatio,US-M2,Gold/Euro,US International Trade,NASDAQ,Crude Oil Future,Baltic Dry Index,Copper Future,FTSE EUROTOP 100 index,prediction,actual,,,
0,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.765820185,1.333914563,-1.128028934,-0.689032272,-1.422502055,-0.462134578,0.443361564,1.0804801,1.0899,2.44E-06,1.093579741,2.17E-16
1,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.762640617,1.333914563,-1.275686573,-0.770159243,-1.407934652,-0.500476001,0.427761801,1.0795455,1.0843,1.5282E-05,1.095184831,
2,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.715428851,1.333914563,-1.337484507,-0.857526751,-1.403772536,-0.433378512,0.237076254,1.078506,1.0905,,1.092398351,
3,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.799350174,1.333914563,-1.486360608,-0.843173518,-1.408975181,-0.441594531,0.065240938,1.076179,1.0847,,1.088480888,
4,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.732193845,1.333914563,-1.448987858,-0.867511609,-1.352786623,-0.462134578,-0.002065121,1.0760167,1.0845,,1.086766843,
5,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.978369484,1.333914563,-1.4099376,-1.089050647,-1.318449172,-0.470350598,-0.190731585,1.0753173,1.0799,,1.082792252,
6,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,2.002842522,1.333914563,-1.435838397,-1.045366893,-1.323651816,-0.348479647,0.054824576,1.078021,1.0763,,1.090906344,
7,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.73479531,1.333914563,-1.519035198,-0.986705852,-1.352786623,-0.560726808,0.106183327,1.076055,1.0834,,1.090671202,
8,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.61782575,1.333914563,-1.384329375,-1.084682272,-1.294517008,-0.69766046,-0.064571875,1.0749743,1.0859,,1.084608197,
9,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,2.029627973,1.333914563,-1.515080867,-1.190147335,-1.263301143,-0.815423401,-0.286005624,1.0720644,1.0771,,1.078227548,
10,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,2.237456096,1.333914563,-1.546976918,-1.246312161,-1.270584845,-0.98522113,-0.502118947,1.0692008,1.0723,,1.070246338,
11,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.707817158,1.333914563,-1.485512644,-1.145839527,-1.244571624,-1.061903976,-0.442260395,1.0692511,1.067,,1.071158403,
12,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.744912117,1.333914563,-1.686151377,-1.192019496,-1.199828884,-1.141325494,-0.641159726,1.0661452,1.0609,,1.067259708,
13,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.37319172,1.333914563,-1.690333107,-0.959871546,-1.216477345,-0.719569845,-0.059159206,1.073617,1.0579,,1.087493453,
14,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.444683823,1.333914563,-1.859859288,-0.743324937,-1.343421864,-0.557988135,-0.258682022,1.0717521,1.0733,,1.082138987,
15,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.172782589,1.333914563,-1.895247788,-0.626002855,-1.386083546,-0.623716288,-0.046204078,1.0724595,1.0733,,1.087050739,
16,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,0.939999676,1.333914563,-1.753943856,-0.685912004,-1.432907344,-0.599068231,0.033227795,1.0740579,1.0645,,1.08932844,
17,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,0.854440393,1.333914563,-1.585591506,-0.627250963,-1.487014844,-0.63467098,0.006077551,1.0742064,1.0582,,1.085708243,
18,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,0.827847643,1.333914563,-1.617945188,-0.569838029,-1.51719018,-0.785297998,-0.005403842,1.072778,1.0548,,1.083133776,
19,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,0.932002581,1.333914563,-1.514939894,-0.390110584,-1.558811333,-0.473089271,0.273543681,1.0768151,1.055,,1.091202558,
20,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,1.072192622,1.333914563,-1.505540034,-0.438786767,-1.607716189,-0.534709414,0.229089332,1.0756061,1.068,,1.08888442,
21,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,0.950598236,1.333914563,-1.665657146,-0.533642919,-1.676391092,-0.518277376,0.06595305,1.0741386,1.0636,,1.087165404,
22,2.483984177,-5.554641211,-0.26886918,-1.403568202,-1.154243311,0.841625771,1.333914563,-1.724807761,-0.562973439,-1.724255419,-0.28822884,0.058063586,1.075913,1.06,,1.090776016,
23,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.922849279,0.728453725,-1.670926281,-0.602912871,-1.837673063,-0.48130529,0.034094067,1.0613582,1.0669,,1.085476269,
24,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.757126344,0.728453725,-1.662825641,-0.688408218,-1.894902149,-0.723677854,0.136314022,1.0594513,1.058,,1.086492193,
25,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.80424176,0.728453725,-1.713857197,-0.648468786,-1.949009648,-0.871566199,-0.090392132,1.0546942,1.0611,,1.077854517,
26,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.838157151,0.728453725,-1.575392562,-0.706505773,-2.018725081,-0.548402779,0.157906776,1.0617537,1.055,,1.087563359,
27,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.864268149,0.728453725,-1.634424873,-0.796369496,-2.166480176,-0.19374462,0.182656302,1.0650029,1.0598,,1.09326775,
28,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.8645572,0.728453725,-1.644887345,-0.658453644,-2.249722483,-0.106107083,0.275555991,1.066149,1.0605,,1.095042139,
29,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.852706083,0.728453725,-1.435927656,-0.647220679,-2.307992098,-0.436117185,0.342806104,1.0638096,1.065,,1.090335833,
30,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.851838929,0.728453725,-1.387357817,-0.513049149,-2.316316329,-0.295075523,0.331838786,1.0649955,1.0695,,1.089704952,
31,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.816478279,0.728453725,-1.235220916,-0.506808613,-2.304870512,-0.605914913,0.350471803,1.0628554,1.0672,,1.084981721,
32,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.916490143,0.728453725,-1.313463115,-0.477478092,-2.281978877,-0.447071877,0.360332379,1.0639012,1.0691,,1.087481604,
33,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.919284309,0.728453725,-1.361887023,-0.4100803,-2.226830849,-0.510061357,0.33004062,1.0628922,1.0739,,1.085905261,
34,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,1.089728421,0.728453725,-1.484915456,-0.436290553,-2.241398252,-0.673012403,0.128398298,1.0591311,1.0724,,1.079095071,
35,2.431471621,-4.200192236,-0.312305524,-1.478240786,-0.554038785,0.973818717,0.728453725,-1.43429336,-0.539883455,-2.251803541,-0.459395905,0.310511004,1.0629731,1.0679,,1.08784233,
